Vertex,SAT time,VC1 time,VC2 time,SAT size,VC1 size,VC2 size
5,259,40,28,3,3,4
5,215,52,22,3,3,4
5,242,52,21,3,3,4
5,239,38,22,3,3,4
5,224,53,20,3,3,4
5,231,55,25,3,3,4
5,203,23,28,3,3,4
5,232,52,23,3,3,4
5,230,50,24,3,3,4
5,201,41,15,3,3,4
5,130,51,20,2,2,2
5,124,51,17,2,2,2
5,138,52,17,2,2,2
5,101,37,13,2,2,2
5,128,50,20,2,2,2
5,123,45,24,2,2,2
5,123,50,20,2,2,2
5,123,35,18,2,2,2
5,133,48,22,2,2,2
5,141,46,21,2,2,2
5,214,38,21,3,3,4
5,230,52,23,3,3,4
5,232,52,22,3,3,4
5,226,52,21,3,3,4
5,233,53,25,3,3,4
5,204,40,15,3,3,4
5,239,51,26,3,3,4
5,230,51,25,3,3,4
5,204,39,14,3,3,4
5,221,54,24,3,3,4
5,216,51,18,3,3,4
5,226,54,25,3,3,4
5,200,64,25,3,3,4
5,231,43,20,3,3,4
5,342,54,25,3,3,4
5,215,25,31,3,3,4
5,205,49,24,3,3,4
5,202,28,32,3,3,4
5,350,52,21,3,3,4
5,222,52,23,3,3,4
5,228,38,21,3,3,4
5,230,26,31,3,3,4
5,249,47,25,3,3,4
5,224,29,34,3,3,4
5,364,53,25,3,3,4
5,238,53,25,3,3,4
5,198,31,36,3,3,4
5,303,25,30,3,3,4
5,228,53,23,3,3,4
5,221,49,24,3,3,4
5,101,53,20,2,2,4
5,105,27,32,2,2,4
5,120,51,23,2,2,4
5,111,51,28,2,2,4
5,137,31,18,2,2,4
5,102,26,31,2,2,4
5,116,52,21,2,2,4
5,124,53,21,2,2,4
5,107,38,14,2,2,4
5,111,50,22,2,2,4
5,219,51,19,3,3,4
5,229,51,24,3,3,4
5,205,26,32,3,3,4
5,248,50,24,3,3,4
5,237,51,26,3,3,4
5,236,51,24,3,3,4
5,202,36,20,3,3,4
5,235,37,19,3,3,4
5,214,53,24,3,3,4
5,240,51,18,3,3,4
5,105,52,23,2,2,4
5,105,44,38,2,2,4
5,103,52,30,2,2,4
5,110,36,40,2,2,4
5,126,62,38,2,2,4
5,140,58,38,2,2,4
5,122,58,38,2,2,4
5,135,48,26,2,2,4
5,138,61,38,2,2,4
5,121,58,38,2,2,4
5,133,44,27,2,2,4
5,115,36,23,2,2,4
5,106,47,26,2,2,4
5,147,58,37,2,2,4
5,101,59,37,2,2,4
5,97,61,37,2,2,4
5,137,60,39,2,2,4
5,124,44,38,2,2,4
5,110,34,39,2,2,4
5,100,50,23,2,2,4
5,219,47,27,3,3,4
5,221,46,26,3,3,4
5,229,45,37,3,3,4
5,207,44,22,3,3,4
5,205,37,42,3,3,4
5,206,50,21,3,3,4
5,211,46,27,3,3,4
5,243,50,24,3,3,4
5,222,48,24,3,3,4
5,251,45,26,3,3,4
10,17756,62,30,5,6,6
10,17682,62,31,5,6,6
10,17658,65,27,5,6,6
10,17613,61,30,5,6,6
10,17720,56,45,5,6,6
10,17623,66,30,5,6,6
10,18187,64,32,5,6,6
10,17990,76,44,5,6,6
10,17702,74,45,5,6,6
10,17752,74,46,5,6,6
10,8724,71,45,5,5,6
10,8759,71,45,5,5,6
10,8774,71,46,5,5,6
10,8791,71,46,5,5,6
10,8804,62,35,5,5,6
10,8856,49,27,5,5,6
10,8873,62,35,5,5,6
10,8923,42,38,5,5,6
10,8884,62,28,5,5,6
10,8849,61,32,5,5,6
10,9684,53,27,5,5,8
10,9729,61,35,5,5,8
10,9712,53,27,5,5,8
10,9711,59,31,5,5,8
10,9820,65,33,5,5,8
10,9739,50,28,5,5,8
10,9704,48,29,5,5,8
10,9686,63,33,5,5,8
10,9689,61,33,5,5,8
10,9764,60,31,5,5,8
10,5411,63,32,5,5,8
10,5484,62,30,5,5,8
10,5504,58,44,5,5,8
10,5431,61,46,5,5,8
10,5450,62,44,5,5,8
10,5422,62,26,5,5,8
10,5452,49,47,5,5,8
10,5474,73,46,5,5,8
10,5475,74,51,5,5,8
10,5491,72,46,5,5,8
10,9384,73,50,5,5,8
10,9348,61,34,5,5,8
10,9401,46,48,5,5,8
10,9344,68,46,5,5,8
10,9298,70,46,5,5,8
10,9341,74,45,5,5,8
10,9279,72,48,5,5,8
10,9361,70,47,5,5,8
10,9385,71,47,5,5,8
10,9320,72,48,5,5,8
10,25258,75,45,5,6,8
10,25413,71,47,5,6,8
10,25322,72,49,5,6,8
10,25368,63,32,5,6,8
10,25418,73,49,5,6,8
10,25297,71,47,5,6,8
10,25276,80,55,5,6,8
